Tipo;Descripcion;Habitaciones;Baños;Área;Barrio;Valor;Valor_USD
Apartamento;Apartamento en venta en Kennedy;2;1;40;Kennedy;200000000.0;51800.05
Apartamento;Apartamento en venta en Fontibón;3;1;48;Fontibón;168000000.0;43512.04
Apartamento;Apartamento en venta en Zona Noroccidental;3;2;68;Zona Noroccidental;323000000.0;83657.08
Casa;Casa en venta en Kennedy;3;2;86;Kennedy;275000000.0;71225.07
Apartamento;Apartamento en venta en Santa Barbara;3;3;114;Santa Barbara;510000000.0;132090.13
Apartamento;Apartamento en venta en Zona Noroccidental;2;1;44;Zona Noroccidental;176000000.0;45584.05
Apartamento;Apartamento en venta en Ciudad Salitre;3;2;100;Ciudad Salitre;680000000.0;176120.18
Apartamento;Apartamento en venta en Quinta Paredes;3;2;100;Quinta Paredes;680000000.0;176120.18
Apartamento;Apartamento en venta en Hayuelos;3;2;45;Hayuelos;217000000.0;56203.06
Apartamento;Apartamento en venta en Usaquén;3;5;178;Usaquén;1050000000.0;271950.27
Casa;Casa en venta en Usaquén;4;3;105;Usaquén;375000000.0;97125.1
Apartamento;Apartamento en venta en Cedritos;3;2;98;Cedritos;458000000.0;118622.12
Oficina/Consultorio;Oficina/Consultorio en venta en Ciudad Salitre;4;2;200;Ciudad Salitre;2000000000.0;518000.52
Apartamento;Apartamento en venta en Santa Barbara;1;2;69;Santa Barbara;425000000.0;110075.11
Apartamento;Apartamento en venta en Zona Noroccidental;3;2;73;Zona Noroccidental;318000000.0;82362.08
Apartamento;Apartamento en venta en Cedritos;4;4;158;Cedritos;660000000.0;170940.17
Apartamento;Apartamento en venta en Usaquén;3;4;100;Usaquén;730000000.0;189070.19
Apartamento;Apartamento en venta en Candelaria La Nueva;3;1;54;Candelaria La Nueva;140000000.0;36260.04
Apartamento;Apartamento en venta en Kennedy;3;2;78;Kennedy;343000000.0;88837.09
Apartamento;Apartamento en venta en Kennedy;3;2;89;Kennedy;385000000.0;99715.1
Casa;Casa en venta en Zona Noroccidental;4;4;220;Zona Noroccidental;1300000000.0;336700.34
Casa;Casa en venta en Zona Noroccidental;4;3;280;Zona Noroccidental;1195000000.0;309505.31
Apartamento;Apartamento en venta en Santa Barbara;2;3;85;Santa Barbara;519000000.0;134421.13
Apartamento;Apartamento en venta en Bella Suiza;2;2;54;Bella Suiza;350000000.0;90650.09
Apartamento;Apartamento en venta en Engativa;3;2;49;Engativa;202000000.0;52318.05
Apartamento;Apartamento en venta en Colina Campestre;4;3;115;Colina Campestre;429000000.0;111111.11
Apartamento;Apartamento en venta en Chico Norte;2;2;88;Chico Norte;640000000.0;165760.17
Apartamento;Apartamento en venta en Mazuren;2;2;67;Mazuren;435000000.0;112665.11
Apartamento;Apartamento en venta en Usaquén;3;2;100;Usaquén;610000000.0;157990.16
Apartamento;Apartamento en venta en Normandia;2;2;77;Normandia;650000000.0;168350.17
Apartamento;Apartamento en venta en Bella Suiza;1;2;61;Bella Suiza;421000000.0;109039.11
Apartamento;Apartamento en venta en Chico Reservado;3;4;150;Chico Reservado;1300000000.0;336700.34
Apartamento;Apartamento en venta en Ciudad Bolívar;3;1;39;Ciudad Bolívar;155000000.0;40145.04
Apartamento;Apartamento en venta en Cedritos;3;3;100;Cedritos;530000000.0;137270.14
Apartamento;Apartamento en venta en Engativa;2;2;58;Engativa;330000000.0;85470.09
Apartamento;Apartamento en venta en Bosa;3;2;60;Bosa;225000000.0;58275.06
Apartamento;Apartamento en venta en Rafael Uribe Uribe;3;1;50;Rafael Uribe Uribe;143000000.0;37037.04
Apartamento;Apartamento en venta en Zona Noroccidental;2;2;51;Zona Noroccidental;245500000.0;63584.56
Apartamento;Apartamento en venta en Cedritos;2;3;97;Cedritos;433000000.0;112147.11
Apartamento;Apartamento en venta en Cedritos;3;2;71;Cedritos;315000000.0;81585.08
Apartamento;Apartamento en venta en Bella Suiza;2;3;82;Bella Suiza;450000000.0;116550.12
Apartamento;Apartamento en venta en Zona Noroccidental;1;1;57;Zona Noroccidental;350000000.0;90650.09
Apartamento;Apartamento en venta en Usaquén;2;2;51;Usaquén;205000000.0;53095.05
Casa;Casa en venta en Usaquén;4;5;236;Usaquén;1200000000.0;310800.31
Apartamento;Apartamento en venta en Fontibón;3;2;54;Fontibón;169000000.0;43771.04
Apartamento;Apartamento en venta en Santa Barbara;1;2;66;Santa Barbara;375000000.0;97125.1
Apartamento;Apartamento en venta en Las Villas;3;3;120;Las Villas;460000000.0;119140.12
Apartamento;Apartamento en venta en Cedritos;1;2;48;Cedritos;308000000.0;79772.08
Apartamento;Apartamento en venta en Chico Reservado;2;4;104;Chico Reservado;1100000000.0;284900.28
Apartamento;Apartamento en venta en Cedritos;2;2;69;Cedritos;400000000.0;103600.1
Casa;Casa en venta en Modelia;4;2;200;Modelia;860000000.0;222740.22
Casa;Casa en venta en Usaquén;7;4;325;Usaquén;1650000000.0;427350.43
Apartamento;Apartamento en venta en San Patricio;1;1;53;San Patricio;565000000.0;146335.15
Apartamento;Apartamento en venta en Barrancas;3;2;63;Barrancas;238000000.0;61642.06
Apartamento;Apartamento en venta en Cedritos;3;3;108;Cedritos;503000000.0;130277.13
Apartamento;Apartamento en venta en Zona Noroccidental;3;2;86;Zona Noroccidental;330000000.0;85470.09
Apartamento;Apartamento en venta en Cedritos;3;2;96;Cedritos;580000000.0;150220.15
Apartamento;Apartamento en venta en Cedritos;4;3;135;Cedritos;635000000.0;164465.16
Apartamento;Apartamento en venta en Zona Noroccidental;3;2;103;Zona Noroccidental;499000000.0;129241.13
Apartamento;Apartamento en venta en Cedritos;2;2;53;Cedritos;371000000.0;96089.1
Apartamento;Apartamento en venta en Tintala;3;2;56;Tintala;179000000.0;46361.05
Apartamento;Apartamento en venta en Teusaquillo;2;2;83;Teusaquillo;348200000.0;90183.89
Apartamento;Apartamento en venta en Ciudad Bolívar;3;2;59;Ciudad Bolívar;173000000.0;44807.04
Apartamento;Apartamento en venta en Usaquén;3;3;66;Usaquén;257000000.0;66563.07
Apartamento;Apartamento en venta en Engativa;3;2;70;Engativa;298500000.0;77311.58
Apartamento;Apartamento en venta en Usaquén;1;2;59;Usaquén;369000000.0;95571.1
Apartamento;Apartamento en venta en Puente Aranda;1;2;51;Puente Aranda;366000000.0;94794.09
Apartamento;Apartamento en venta en Usaquén;2;3;92;Usaquén;378000000.0;97902.1
Apartamento;Apartamento en venta en Cedritos;1;2;54;Cedritos;355000000.0;91945.09
Apartamento;Apartamento en venta en La Calleja;3;3;121;La Calleja;700000000.0;181300.18
Apartamento;Apartamento en venta en La Calleja;3;3;150;La Calleja;990000000.0;256410.26
Apartamento;Apartamento en venta en Zona Noroccidental;3;3;102;Zona Noroccidental;600000000.0;155400.16
Apartamento;Apartamento en venta en Cedritos;3;3;122;Cedritos;516000000.0;133644.13
Apartamento;Apartamento en venta en Cedritos;3;3;82;Cedritos;350000000.0;90650.09
Apartamento;Apartamento en venta en Bella Suiza;2;2;78;Bella Suiza;475000000.0;123025.12
Apartamento;Apartamento en venta en Chapinero;3;2;141;Chapinero;749000000.0;193991.19
Apartamento;Apartamento en venta en Usaquén;2;2;75;Usaquén;498000000.0;128982.13
Apartamento;Apartamento en venta en Santa Barbara;1;1;35;Santa Barbara;269000000.0;69671.07
Apartamento;Apartamento en venta en Zona Noroccidental;2;1;43;Zona Noroccidental;153000000.0;39627.04
Apartamento;Apartamento en venta en Zona Noroccidental;4;3;82;Zona Noroccidental;335000000.0;86765.09
Apartamento;Apartamento en venta en Zona Noroccidental;3;2;77;Zona Noroccidental;399000000.0;103341.1
Apartamento;Apartamento en venta en Cedritos;1;2;51;Cedritos;373000000.0;96607.1
Apartamento;Apartamento en venta en El Contador;2;2;70;El Contador;415000000.0;107485.11
Apartamento;Apartamento en venta en Bella Suiza;3;4;180;Bella Suiza;1550000000.0;401450.4
Apartamento;Apartamento en venta en El Contador;3;3;90;El Contador;460000000.0;119140.12
Apartamento;Apartamento en venta en Cedritos;2;1;52;Cedritos;225000000.0;58275.06
Apartamento;Apartamento en venta en Rafael Uribe Uribe;3;2;58;Rafael Uribe Uribe;200000000.0;51800.05
Apartamento;Apartamento en venta en Zona Noroccidental;2;2;50;Zona Noroccidental;234000000.0;60606.06
Apartamento;Apartamento en venta en Zona Noroccidental;4;2;73;Zona Noroccidental;199000000.0;51541.05
Apartamento;Apartamento en venta en Bella Suiza;2;2;83;Bella Suiza;450000000.0;116550.12
Apartamento;Apartamento en venta en Santa Barbara;5;5;375;Santa Barbara;1400000000.0;362600.36
Apartamento;Apartamento en venta en Usaquén;2;2;60;Usaquén;310000000.0;80290.08
Apartamento;Apartamento en venta en Zona Noroccidental;3;3;70;Zona Noroccidental;355000000.0;91945.09
Apartamento;Apartamento en venta en Colina Campestre;3;2;108;Colina Campestre;545000000.0;141155.14
Apartamento;Apartamento en venta en Chapinero;2;2;89;Chapinero;720000000.0;186480.19
Apartamento;Apartamento en venta en Chapinero;3;2;95;Chapinero;650000000.0;168350.17
Apartamento;Apartamento en venta en Cedritos;3;2;87;Cedritos;343000000.0;88837.09
Apartamento;Apartamento en venta en Usme;3;1;46;Usme;127000000.0;32893.03
Apartamento;Apartamento en venta en Ciudad Salitre;3;2;70;Ciudad Salitre;370000000.0;95830.1
Apartamento;Apartamento en venta en Kennedy;3;1;57;Kennedy;162000000.0;41958.04
Apartamento;Apartamento en venta en Zona Noroccidental;3;4;300;Zona Noroccidental;1560000000.0;404040.4
Apartamento;Apartamento en venta en Usme;3;1;48;Usme;136000000.0;35224.04
Casa;Casa en venta en Engativa;4;2;90;Engativa;265000000.0;68635.07
Apartamento;Apartamento en venta en Usme;2;1;43;Usme;131000000.0;33929.03
Casa;Casa en venta en Usaquén;3;2;114;Usaquén;416000000.0;107744.11
Apartamento;Apartamento en venta en Zona Noroccidental;2;1;43;Zona Noroccidental;161000000.0;41699.04
Casa;Casa en venta en El Contador;4;3;210;El Contador;900000000.0;233100.23
Casa;Casa en venta en Nueva Zelandia;4;2;105;Nueva Zelandia;389000000.0;100751.1
Apartamento;Apartamento en venta en Usaquén;3;1;54;Usaquén;190000000.0;49210.05
Apartamento;Apartamento en venta en Usme;3;1;50;Usme;139000000.0;36001.04
Apartamento;Apartamento en venta en Cedritos;2;2;70;Cedritos;319000000.0;82621.08
Apartamento;Apartamento en venta en Cedritos;1;2;52;Cedritos;327000000.0;84693.08
Apartamento;Apartamento en venta en La Calleja;1;2;70;La Calleja;474500000.0;122895.62
Apartamento;Apartamento en venta en Zona Noroccidental;3;3;134;Zona Noroccidental;720000000.0;186480.19
Apartamento;Apartamento en venta en Cedritos;3;2;66;Cedritos;310000000.0;80290.08
Apartamento;Apartamento en venta en Madelena;2;1;40;Madelena;177500000.0;45972.55
Casa;Casa en venta en Zona Noroccidental;4;3;222;Zona Noroccidental;1200000000.0;310800.31
Apartamento;Apartamento en venta en El Plan;3;2;77;El Plan;380000000.0;98420.1
Apartamento;Apartamento en venta en Suba;3;2;53;Suba;210000000.0;54390.05
Casa;Casa en venta en Kennedy;14;7;360;Kennedy;1290000000.0;334110.33
Apartamento;Apartamento en venta en Cedritos;3;2;77;Cedritos;320000000.0;82880.08
Apartamento;Apartamento en venta en San Patricio;1;2;60;San Patricio;445000000.0;115255.12
Apartamento;Apartamento en venta en Usaquén;3;2;91;Usaquén;340000000.0;88060.09
Casa;Casa en venta en Usaquén;7;3;240;Usaquén;465000000.0;120435.12
Apartamento;Apartamento en venta en Villa Alsacia;2;1;42;Villa Alsacia;220000000.0;56980.06
Apartamento;Apartamento en venta en Hayuelos;3;2;69;Hayuelos;337000000.0;87283.09
Apartamento;Apartamento en venta en Kennedy;2;2;54;Kennedy;260000000.0;67340.07
Apartamento;Apartamento en venta en Tintala;3;3;98;Tintala;445000000.0;115255.12
Apartamento;Apartamento en venta en Tintala;3;2;74;Tintala;290000000.0;75110.08
Apartamento;Apartamento en venta en Nueva Zelandia;2;2;56;Nueva Zelandia;342514000.0;88711.21
Apartamento;Apartamento en venta en Santa Paula;2;3;89;Santa Paula;625000000.0;161875.16
Apartamento;Apartamento en venta en Zona Noroccidental;3;2;90;Zona Noroccidental;490000000.0;126910.13
Apartamento;Apartamento en venta en Usaquén;3;2;71;Usaquén;350000000.0;90650.09
Apartamento;Apartamento en venta en Cedritos;3;2;90;Cedritos;444150000.0;115034.97
Apartamento;Apartamento en venta en Villemar;3;2;78;Villemar;360000000.0;93240.09
Apartamento;Apartamento en venta en Santa Fe;1;2;54;Santa Fe;370000000.0;95830.1
Apartamento;Apartamento en venta en Kennedy;3;2;52;Kennedy;150000000.0;38850.04
Apartamento;Apartamento en venta en Tintala;2;2;54;Tintala;232500000.0;60217.56
Apartamento;Apartamento en venta en Kennedy;3;2;64;Kennedy;271000000.0;70189.07
Apartamento;Apartamento en venta en Santa Fe;1;2;60;Santa Fe;450000000.0;116550.12
Apartamento;Apartamento en venta en Tintala;3;2;55;Tintala;163500000.0;42346.54
Apartamento;Apartamento en venta en Kennedy;4;2;88;Kennedy;390000000.0;101010.1
Casa;Casa en venta en Zona Noroccidental;3;2;89;Zona Noroccidental;300000000.0;77700.08
Apartamento;Apartamento en venta en Mazuren;3;3;85;Mazuren;406000000.0;105154.11
Apartamento;Apartamento en venta en Bella Suiza;1;2;61;Bella Suiza;465000000.0;120435.12
Apartamento;Apartamento en venta en El Contador;2;2;62;El Contador;390000000.0;101010.1
Apartamento;Apartamento en venta en Antonio Nariño;2;1;37;Antonio Nariño;175000000.0;45325.05
Apartamento;Apartamento en venta en El Batán;2;2;91;El Batán;445000000.0;115255.12
